"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 14 18:36:14 BDT 2024","Mon Oct 14 18:36:15 BDT 2024","1032","Suite","Automation","testcases.TestLoginPage","testcases.TestLoginPage","test_login_with_without_email","test_login_with_without_email",""
"passed","Mon Oct 14 18:36:35 BDT 2024","Mon Oct 14 18:36:35 BDT 2024","675","Suite","Automation","testcases.TestLoginPage","testcases.TestLoginPage","test_login_with_without_password","test_login_with_without_password",""
"passed","Mon Oct 14 18:33:40 BDT 2024","Mon Oct 14 18:33:40 BDT 2024","395","Suite","Automation","testcases.TestLoginPage","testcases.TestLoginPage","test_login_with_invalid_credentials","test_login_with_invalid_credentials",""
"passed","Mon Oct 14 18:33:18 BDT 2024","Mon Oct 14 18:33:19 BDT 2024","1298","Suite","Automation","testcases.TestLoginPage","testcases.TestLoginPage","test_login_with_invalid_credentials","test_login_with_invalid_credentials",""
"passed","Mon Oct 14 18:35:55 BDT 2024","Mon Oct 14 18:35:56 BDT 2024","1018","Suite","Automation","testcases.TestLoginPage","testcases.TestLoginPage","test_login_with_without_credentials","test_login_with_without_credentials",""
"passed","Mon Oct 14 18:32:41 BDT 2024","Mon Oct 14 18:32:49 BDT 2024","8317","Suite","Automation","testcases.TestLoginPage","testcases.TestLoginPage","test_login_with_invalid_credentials","test_login_with_invalid_credentials",""
"passed","Mon Oct 14 18:33:58 BDT 2024","Mon Oct 14 18:33:59 BDT 2024","412","Suite","Automation","testcases.TestLoginPage","testcases.TestLoginPage","test_login_with_invalid_email","test_login_with_invalid_email",""
"passed","Mon Oct 14 18:36:51 BDT 2024","Mon Oct 14 18:36:53 BDT 2024","2106","Suite","Automation","testcases.TestLoginPage","testcases.TestLoginPage","test_login_with_wrong_credentials","test_login_with_wrong_credentials",""
"passed","Mon Oct 14 18:34:38 BDT 2024","Mon Oct 14 18:34:41 BDT 2024","2669","Suite","Automation","testcases.TestLoginPage","testcases.TestLoginPage","test_login_with_invalid_password","test_login_with_invalid_password",""
"passed","Mon Oct 14 18:37:15 BDT 2024","Mon Oct 14 18:37:18 BDT 2024","3162","Suite","Automation","testcases.TestLoginPage","testcases.TestLoginPage","test_login_with_wrong_email","test_login_with_wrong_email",""
"passed","Mon Oct 14 18:35:05 BDT 2024","Mon Oct 14 18:35:28 BDT 2024","23499","Suite","Automation","testcases.TestLoginPage","testcases.TestLoginPage","test_login_with_valid_credentials","Test with valid username and password","User trying to login with valid credentials"
"passed","Mon Oct 14 18:34:14 BDT 2024","Mon Oct 14 18:34:15 BDT 2024","797","Suite","Automation","testcases.TestLoginPage","testcases.TestLoginPage","test_login_with_invalid_email_password","test_login_with_invalid_email_password",""
